execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS,511260.SS,511880.SS
2013-04-01,0,0,0,0,0,0,0,0,0,1,0,0
2013-05-02,0,0,0,0,0,0,0,0,0,1,0,0
2013-06-03,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,1,0,0
2013-09-02,0,0,0,0,0,0,0,0,0,1,0,0
2013-10-08,0,0,0,0,0,0,0,0,0,1,0,0
2013-11-01,0,0,0,0,0,0,0,0,0,1,0,0
2013-12-02,0,0,0,0,0,0,0,0,0,1,0,0
2014-01-02,0,0,0,0,0,0,0,0,0,1,0,0
2014-02-07,0,0,0,0,0,0,0,0,0,1,0,0
2014-03-03,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,1,0,0
2014-05-05,0.11792716608740235,0.097962153838956734,0.2160543560952278,0.1432846074869526,0.18682237631127968,0,0,0.23794934018018074,0,0,0,0
2014-06-03,0.11109291506433262,0.09310794135791961,0.21171390073956031,0.13286457415439692,0.17055406178013643,0,0,0.28066660690365403,0,0,0,0
2014-07-01,0.12398936895282274,0.094654854644350403,0.21229780749529237,0.12421261880755803,0.17285055978734584,0,0,0.27199479031263057,0,0,0,0
2014-08-01,0.12005780380344015,0.098860747987964556,0.2503012237035227,0.14704750995782154,0.15489773130986681,0,0,0.22883498323738422,0,0,0,0
2014-09-01,0.11416968430945035,0.12078379796713669,0.20758894446540949,0.16282477524066222,0.14543566326425361,0,0,0.24919713475308769,0,0,0,0
2014-10-08,0.097383089504955292,0.10601257438226874,0.19037389185835119,0.14387770031199082,0.12453759967230314,0,0,0.33781514427013087,0,0,0,0
2014-11-03,0.12717464197299577,0.12209488714503156,0.14184150458425512,0.13146517142658187,0.10845112221783787,0,0,0.36897267265329775,0,0,0,0
2014-12-01,0.13129918193841977,0.12653225102347401,0.19897666615467405,0.16346670477891728,0.12148612705022141,0,0,0.25823906905429361,0,0,0,0
2015-01-05,0.083119600221233297,0.10675331379869094,0.17760031802860449,0.15538588366090528,0.12752986606508659,0,0.13795463522365073,0.21165638300182876,0,0,0,0
2015-02-02,0.061033860541350515,0.10064595423723165,0.19955818384290411,0.1532748995179051,0.15290455861105537,0,0.12523296996060773,0.2073495732889454,0,0,0,0
2015-03-02,0.064252850383797397,0.10178046964275655,0.18453706318665736,0.14445148819802758,0.15491888046450086,0,0.11936436119955067,0.23069488692470969,0,0,0,0
2015-04-01,0.073116612087161401,0.097254189148826123,0.18286865862700799,0.15583456481922081,0.13851783021965572,0,0.096649943363753391,0.25575820173437469,0,0,0,0
2015-05-04,0.10106654459308601,0.076456596343579833,0.20041038618617307,0.16260541058383188,0.054941813937720171,0,0.11944467163154689,0.28507457672406217,0,0,0,0
2015-06-01,0.075422376244960954,0.055487575355771278,0.20530050290117538,0.18232886032890988,0.044968882397832914,0,0.15866719208126936,0.27782461069008024,0,0,0,0
2015-07-01,0.044073636463828586,0.036621848650107709,0.25310544618279135,0.17719220605563762,0.03950262720326362,0,0.11608114364945721,0.33342309179491392,0,0,0,0
2015-08-03,0.04333043523648282,0.037456186019694533,0.27035245136513364,0.19694425172899729,0.06380101304034666,0,0.12148481075622075,0.26663085185312424,0,0,0,0
2015-09-01,0.050433832035830052,0.044667391661568259,0.1936727709292386,0.1422140103150133,0.084994707899260127,0,0.12130008757488149,0.36271719958420823,0,0,0,0
2015-10-08,0.056834040943307358,0.048503306535963193,0.1826737285678075,0.13337148889131201,0.091567960852238048,0,0.13165488871019757,0.35539458549917441,0,0,0,0
2015-11-02,0.063891804951205972,0.052473788706388941,0.13433756805753086,0.10204617672237044,0.10418861609120723,0,0.11980585138859946,0.42325619408269721,0,0,0,0
2015-12-01,0.075395585552467045,0.052582759222639212,0.15008348060495269,0.11625307213867594,0.099806643058661812,0,0.14378297159905448,0.36209548782354867,0,0,0,0
2016-01-04,0.074392283675106294,0.057322962954737558,0.15641524844456159,0.12455915851953429,0.12723592971665032,0,0.15778148869415004,0.30229292799525997,0,0,0,0
2016-02-01,0.060569132943144408,0.046652365200829986,0.13516270056120205,0.10195766445155509,0.093460504872458716,0,0.12461594635319159,0.43758168561761812,0,0,0,0
2016-03-01,0.063605060950056261,0.048249064474841459,0.13753463336362221,0.10417202132809415,0.10245935562365587,0,0.12593911218614393,0.41804075207358615,0,0,0,0
2016-04-01,0.061025428084283038,0.044132706702077994,0.15307220112511713,0.10895831574574735,0.095905463863782806,0,0.13188627340233958,0.40501961107665213,0,0,0,0
2016-05-03,0.077279181031246619,0.05150927794075999,0.16896669484462012,0.13316406140978948,0.095204255674930863,0,0.16336360129403002,0.31051292780462275,0,0,0,0
2016-06-01,0.098831178817738827,0.058567664906701837,0.18811295427750679,0.15993112969172493,0.11215780763964699,0,0.13325715139131061,0.24914211327537006,0,0,0,0
2016-07-01,0.10110495427505509,0.063234883682420251,0.17590518312201614,0.17353572991363755,0.090920543079563071,0,0.10498465615267093,0.29031404977463693,0,0,0,0
2016-08-01,0.095493758671494539,0.063049732016485421,0.16610178309932752,0.15568167068975786,0.095964295482744016,0,0.12339599699794243,0.30031276304224824,0,0,0,0
2016-09-01,0.10833310749634677,0.079666091011822704,0.15120169474104003,0.14171391632629149,0.10099349002450464,0,0.13336819495978519,0.28472350544020913,0,0,0,0
2016-10-10,0.13062940089991798,0.10316269603207874,0.12199424555517001,0.10408959195414436,0.10729144620590536,0,0.16037009487550383,0.27246252447727975,0,0,0,0
2016-11-01,0.13794101611401074,0.11071171777526932,0.12658915805467588,0.097456883471607289,0.10359327022600633,0,0.16286392517609807,0.26084402918233246,0,0,0,0
2016-12-01,0.16358199130964854,0.11960266620382833,0.10064700650395283,0.088043061369316652,0.083039759276931899,0,0.16059952374769818,0.2844859915886237,0,0,0,0
2017-01-03,0.14880459668068871,0.13601352247396789,0.072781865681442154,0.11794346060346121,0.091370832076579964,0,0.1359366257831961,0.29714909670066403,0,0,0,0
2017-02-03,0.15693648593192,0.13115005345696448,0.069211698315647857,0.12030629664291878,0.099671249088443076,0,0.1247060459955958,0.29801817056850988,0,0,0,0
2017-03-01,0.1308635522906815,0.11149125633171367,0.066902026938821316,0.14044517420473307,0.12805093142964719,0,0.11952593769898211,0.30272112110542126,0,0,0,0
2017-04-05,0.1666829238460143,0.11691086047684483,0.062216657533583984,0.095377162758322906,0.12558353669853406,0,0.12706264571493736,0.30616621297176266,0,0,0,0
2017-05-02,0.15285564348895356,0.1094484497160414,0.0686619380573847,0.10357629065353463,0.117993258940585,0,0.12230425060246086,0.32516016854103985,0,0,0,0
2017-06-01,0.15598103221753679,0.12617766754423687,0.067999940304066808,0.10488476018837296,0.1313170770850077,0,0.12751977003295673,0.28611975262782213,0,0,0,0
2017-07-03,0.15455624365770929,0.1109303620988988,0.13106922279508984,0.097610179090730553,0.12869414505576859,0,0.1102750396259677,0.26686480767583526,0,0,0,0
2017-08-01,0.13586830518871745,0.11452838231366229,0.16733184268863932,0.082906034431979345,0.11735853599332058,0,0.10811816200558136,0.27388873737809971,0,0,0,0
2017-09-01,0.096725932961173225,0.10402876671959435,0.21567727130829428,0.082251383512565793,0.087590255496092007,0,0.10478661542870528,0.30893977457357491,0,0,0,0
2017-10-09,0.091298819129280104,0.080541318371598697,0.1992574262861479,0.1024198157285089,0.094722596792848265,0,0.11412734773754875,0.31763267595406736,0,0,0,0
